Species,Times,Concentrations
"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.02817], [0.0075, 0.0965828571428572], [0.135, 0.0160971428571429]]"
"[1, 0, 1, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0196705128205128], [0.135, 0.100319615384615], [0.0075, 0.0334398717948718]]"
"[1, 0, 1, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.00944038461538461], [0.135, 0.109508461538462], [0.0075, 0.0283211538461538]]"
"[1, 0, 1, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.00576216867469879], [0.0075, 0.109481204819277], [0.135, 0.0441766265060241]]"
"[1, 0, 1, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.00316172043010753], [0.0075, 0.0901090322580645], [0.135, 0.053749247311828]]"
"[1, 0, 1, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0451333333333333], [0.135, 0.0902666666666667], [0.0075, 0.0]]"
"[1, 0, 1, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0525013861386139], [0.0075, 0.103458613861386], [0.135, 0.0]]"
"[1, 0, 1, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0578008421052632], [0.0075, 0.0947291578947368], [0.135, 0.0]]"
"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.049632], [0.135, 0.0235752], [0.0075, 0.0508728]]"
"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0537446341463415], [0.0075, 0.0109682926829268], [0.135, 0.0701970731707317]]"
"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0491467058823529], [0.0075, 0.0312751764705882], [0.135, 0.0461681176470588]]"
"[1, 0, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0281775], [0.135, 0.0093925], [0.0075, 0.11271]]"
"[1, 0, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0127029411764706], [0.135, 0.00889205882352941], [0.0075, 0.107975]]"
"[1, 0, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0201842857142857], [0.0075, 0.00366987012987013], [0.135, 0.117435844155844]]"
"[1, 0, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0120368041237113], [0.0075, 0.00401226804123711], [0.135, 0.113680927835052]]"
"[1, 0, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0380542528735632], [0.135, 0.0], [0.0075, 0.0801857471264368]]"
"[1, 0, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.102313524590164], [0.135, 0.0300922131147541], [0.0075, 0.014444262295082]]"
"[1, 0, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.00763636363636364], [0.0075, 0.0], [0.135, 0.109963636363636]]"
"[1, 0, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.00293272727272727], [0.0075, 0.0], [0.135, 0.109977272727273]]"
"[1, 0, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.055291775147929], [0.135, 0.055291775147929], [0.0075, 0.021026449704142]]"
"[1, 0, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0761895625], [0.135, 0.0470834375], [0.0075, 0.013697]]"
"[1, 0, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0611320224719101], [0.0075, 0.0681185393258427], [0.135, 0.0261994382022472]]"
"[1, 0, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.07956], [0.0075, 0.05148], [0.135, 0.01404]]"
"[1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0541679411764706], [0.135, 0.0583347058823529], [0.0075, 0.0291673529411765]]"
"[1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0449115789473684], [0.135, 0.0639126315789474], [0.0075, 0.0224557894736842]]"
"[1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0402130864197531], [0.0075, 0.0681874074074074], [0.135, 0.0332195061728395]]"
"[1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.04337], [0.0075, 0.0374559090909091], [0.135, 0.0492840909090909]]"
"[1, 0, 0, 0, 1, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.040910198019802], [0.135, 0.0694233663366337], [0.0075, 0.0148764356435644]]"
"[1, 0, 0, 0, 1, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0407605633802817], [0.135, 0.0570647887323944], [0.0075, 0.0179346478873239]]"
"[1, 0, 0, 0, 1, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0394535849056604], [0.0075, 0.065345], [0.135, 0.0258914150943396]]"
"[1, 0, 0, 0, 1, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0514702083333333], [0.0075, 0.0528246875], [0.135, 0.0257351041666667]]"
"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0610232926829268], [0.135, 0.0553467073170732], [0.0075, 0.0]]"
"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0567742222222222], [0.135, 0.0543057777777778], [0.0075, 0.0]]"
"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0522121495327103], [0.0075, 0.0692378504672897], [0.135, 0.0]]"
"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0610948], [0.0075, 0.0563952], [0.135, 0.0]]"
"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0056896694214876], [0.135, 0.130862396694215], [0.0075, 0.00113793388429752]]"
"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.00802872549019608], [0.135, 0.108961274509804], [0.0075, 0.0]]"
"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0189077142857143], [0.0075, 0.120412285714286], [0.135, 0.0]]"
"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0317958974358974], [0.0075, 0.0844235897435898], [0.135, 0.0120605128205128]]"
"[1, 0, 0, 0, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0152065040650407], [0.135, 0.101693495934959], [0.0075, 0.0]]"
"[1, 0, 0, 0, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0114386363636364], [0.135, 0.0964113636363636], [0.0075, 0.0]]"
"[1, 0, 0, 0, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0338622099447514], [0.0075, 0.111261546961326], [0.135, 0.000806243093922652]]"
"[1, 0, 0, 0, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0312792792792793], [0.0075, 0.0916036036036036], [0.135, 0.00111711711711712]]"
"[1, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.135, 0.108849230769231], [0.0075, 0.0238107692307692]]"
"[1, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.135, 0.11791], [0.0075, 0.0]]"
"[1, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.130072857142857], [0.135, 0.00156714285714286]]"
"[1, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0518871264367816], [0.135, 0.0808828735632184]]"
"[0, 1, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0], [0.0075, 0.08993], [0.0075, 0.0]]"
"[0, 1, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0], [0.0075, 0.11497], [0.0075, 0.0]]"
"[0, 1, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.135, 0.0767], [0.0075, 0.0]]"
"[0, 1, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.135, 0.08109], [0.0075, 0.0]]"
"[0, 1, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.09375], [0.135, 0.0]]"
"[0, 1, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.08935], [0.135, 0.0]]"
"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0], [0.0075, 0.0985], [0.0075, 0.0]]"
"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0], [0.0075, 0.09238], [0.0075, 0.00894]]"
"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.135, 0.0939], [0.0075, 0.0]]"
"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.135, 0.07558], [0.0075, 0.0]]"
"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0805238709677], [0.135, 0.0234861290323]]"
"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.04758], [0.135, 0.02928]]"
"[0, 1, 1, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0], [0.0075, 0.124446185567], [0.0075, 0.040913814433]]"
"[0, 1, 1, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0], [0.0075, 0.112541746032], [0.0075, 0.0603882539683]]"
"[0, 1, 1, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.135, 0.1181326], [0.0075, 0.0755274]]"
"[0, 1, 1, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.135, 0.0805362637363], [0.0075, 0.102683736264]]"
"[0, 1, 1, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.1048575], [0.135, 0.0603725]]"
"[0, 1, 1, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.090192], [0.135, 0.078918]]"
"[0, 1, 1, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0], [0.0075, 0.104427717391], [0.0075, 0.0641222826087]]"
"[0, 1, 1, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0], [0.0075, 0.111767301587], [0.0075, 0.0599726984127]]"
"[0, 1, 1, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.135, 0.089353125], [0.0075, 0.069496875]]"
"[0, 1, 1, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.135, 0.0818382857143], [0.0075, 0.0772917142857]]"
