Species,Times,Concentrations
"[0, 1, 0, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.1425, 0.0250672413793, 0.031847967033, 0.0369015384615, 0.0171735483871, 0.045038], [0.0075, 0.0787827586207, 0.069842032967, 0.0830284615385, 0.0668864516129, 0.083642]]"
"[0, 1, 0, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.0075, 0.0101317391304, 0.01766296875, 0.05494125, 0.0204318584071, 0.0468424358974], [0.1425, 0.15631826087, 0.08999703125, 0.09156875, 0.0683681415929, 0.0791475641026]]"
"[0, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.1425, 0.0482818181818, 0.0810550675676, 0.0854547058824, 0.0785704705882, 0.0793757017544], [0.0075, 0.111048181818, 0.0707949324324, 0.0790052941176, 0.0843195294118, 0.0739942982456]]"
"[0, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.0075, 0.00161902654867, 0.0421193142857, 0.0656942528736, 0.0773071186441, 0.0968484269663], [0.1425, 0.181330973451, 0.111440685714, 0.102405747126, 0.0799728813559, 0.0721615730337]]"
"[0, 1, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1]","[[0.1425, 0.0846773831776, 0.0553467532468, 0.0615881879195, 0.0543292741935, 0.0482434188034], [0.0075, 0.0411626168224, 0.0568032467532, 0.0545718120805, 0.0638607258065, 0.0427965811966]]"
"[0, 1, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1]","[[0.0075, 0.0507668571429, 0.058803943662, 0.0535408163265, 0.0563488288288, 0.0661883146067], [0.1425, 0.0885931428571, 0.054036056338, 0.0922091836735, 0.0514911711712, 0.0618716853933]]"
"[0, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.00872317596566524, 0.0947948571428571, 0.069529875, 0.06493, 0.0754, 0.07356], [0.141276824034335, 0.00574514285714286, 0.000880125, 0.0, 0.0, 0.0]]"
"[0, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.00872317596566524, 0.0880742763157895, 0.07146, 0.06062, 0.07499, 0.0745], [0.141276824034335, 0.00299572368421053, 0.0, 0.0, 0.0, 0.0]]"
"[0, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.143559479553903, 0.0862364444444444, 0.06668, 0.07475, 0.07488, 0.0720395180722891], [0.00644052044609666, 0.000643555555555556, 0.0, 0.0, 0.0, 0.000290481927710843]]"
"[0, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.143559479553903, 0.08962, 0.07316, 0.06056, 0.07912, 0.07849], [0.00644052044609666, 0.0, 0.0, 0.0, 0.0, 0.0]]"
